%Apps,Number of Apps,Topic#,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10
21.4,127992,65,0.014*destination,0.011*game,0.010*radar,0.007*sound,0.006*play,0.006*child,0.006*puzzle,0.005*phone,0.005*friend,0.005*kid
20.7,123894,75,0.010*calculator,0.006*time,0.006*information,0.005*application,0.004*easy,0.004*tip,0.004*know,0.004*tool,0.004*help,0.004*make
14.2,84968,41,0.013*file,0.009*data,0.008*photo,0.008*contact,0.008*support,0.007*text,0.007*iphone,0.007*location,0.006*application,0.006*message
10.2,61241,46,0.013*information,0.013*location,0.012*phone,0.011*news,0.009*alert,0.009*find,0.008*access,0.008*call,0.008*search,0.008*mobile
5.1,30464,28,0.016*clock,0.015*timer,0.013*color,0.013*camera,0.013*photo,0.010*screen,0.010*flashlight,0.010*send,0.010*iphone,0.009*icon
3.6,21226,93,0.014*keyboard,0.014*dictionary,0.008*phrasebook,0.008*travelling,0.007*native,0.007*situation,0.006*industry,0.005*french,0.005*arranged,0.005*sentence
2.9,17073,79,0.017*fuel,0.015*charge,0.009*tourism,0.008*limit,0.007*strobe,0.005*film,0.005*wedding,0.004*stunning,0.004*valley,0.004*festival
2.6,15486,42,0.083*weather,0.017*local,0.014*traveler,0.013*indicator,0.011*current,0.010*event,0.010*major,0.009*information,0.009*condition,0.008*geographical
2.2,12953,14,0.034*city,0.033*travel,0.031*offline,0.030*map,0.026*street,0.025*guide,0.017*roaming,0.015*route,0.015*place,0.014*attraction
1.6,9475,40,0.060*phrase,0.058*word,0.033*language,0.018*english,0.017*letter,0.015*average,0.015*communicate,0.012*daylight,0.012*vocabulary,0.012*speaker
1.6,9381,85,0.012*itinerary,0.010*county,0.009*input,0.008*screenshots,0.008*wait,0.007*bank,0.007*accessing,0.007*fill,0.006*normal,0.006*restaurant
1.2,6959,97,0.060*subscription,0.033*account,0.029*transfer,0.025*issue,0.018*payment,0.018*current,0.018*security,0.016*magazine,0.014*charged,0.013*purchase
1.1,6594,94,0.015*request,0.014*nearby,0.012*integrated,0.009*configuration,0.008*tour,0.008*patent,0.008*pending,0.008*coded,0.008*looping,0.007*display
0.8,5056,0,0.034*video,0.027*browser,0.026*accident,0.023*music,0.021*recording,0.017*song,0.016*assistance,0.015*sunrise,0.015*stream,0.014*player
0.7,3887,45,0.029*metric,0.022*compare,0.020*recipe,0.019*food,0.018*imperial,0.017*lightning,0.011*fitness,0.010*cooking,0.009*saint,0.008*religious
0.6,3456,55,0.015*church,0.014*height,0.013*affiliated,0.012*drug,0.012*endorsed,0.011*charging,0.009*erase,0.009*campground,0.009*copyright,0.009*require
0.5,3199,21,0.050*remote,0.026*task,0.017*fahrenheit,0.017*basketball,0.016*key,0.015*severe,0.013*calculating,0.012*delay,0.012*control,0.010*telephone
0.5,3082,70,0.061*airport,0.024*weight,0.016*terminal,0.008*bug,0.008*fantasy,0.008*athlete,0.008*sport,0.008*determine,0.008*metal,0.007*champion
0.5,2691,Unspecified,,,,,,,,,,
0.4,2583,37,0.047*calculation,0.026*light,0.024*dramatically,0.022*flash,0.021*cell,0.016*speed,0.016*math,0.015*zoomable,0.015*amount,0.012*binary
0.4,2167,84,0.023*coach,0.022*frequent,0.018*wine,0.016*prediction,0.009*normally,0.009*membership,0.009*velocity,0.009*guitar,0.009*represents,0.009*width
0.3,1532,26,0.110*password,0.016*icloud,0.013*ruler,0.013*renting,0.011*tube,0.011*sync,0.010*safe,0.009*printing,0.009*confirm,0.009*perfectly
0.3,1764,67,0.034*landmark,0.016*balance,0.016*incident,0.014*inventory,0.013*realtime,0.013*enables,0.012*impress,0.012*ride,0.012*tag,0.011*functional
0.3,1528,72,0.087*forecast,0.025*wind,0.021*hourly,0.016*departure,0.015*humidity,0.014*horizontal,0.012*vertical,0.011*hardware,0.009*controller,0.009*mapping
0.3,1806,77,0.044*card,0.030*compatibility,0.018*imagery,0.017*proud,0.016*pressing,0.016*gold,0.014*remaining,0.013*suggest,0.012*extension,0.011*completed
0.3,1907,83,0.059*schedule,0.049*vehicle,0.031*driver,0.021*hurricane,0.019*bike,0.018*service,0.018*plotting,0.017*poker,0.017*road,0.015*security
0.2,903,6,0.065*alert,0.062*calendar,0.049*safety,0.026*date,0.025*event,0.025*hockey,0.022*mirror,0.018*badge,0.018*safe,0.016*count
0.2,921,18,0.077*code,0.033*coupon,0.030*deal,0.025*scan,0.024*discount,0.022*shop,0.019*checking,0.015*submitted,0.014*compression,0.013*car
0.2,1065,33,0.059*tour,0.032*graph,0.027*severity,0.025*estimate,0.025*require,0.025*london,0.023*event,0.021*performance,0.018*historic,0.016*wifi
0.2,1425,35,0.069*clock,0.048*resort,0.039*beach,0.031*christmas,0.028*holiday,0.023*island,0.021*predefined,0.019*thai,0.018*longitude,0.018*station
0.2,1094,60,0.116*golf,0.048*course,0.030*club,0.025*measuring,0.016*climate,0.015*golfer,0.014*downtown,0.013*urban,0.011*expected,0.009*round
0.2,1033,62,0.125*station,0.087*radio,0.062*contributed,0.032*moon,0.023*handled,0.020*insider,0.018*rugby,0.017*multitasking,0.017*predict,0.015*cafe
