%Apps,Number of Apps,Topic#,W1,W2,W3,W4,W5,W6,W7
0.25,2111,54, 0.063*voice , 0.028*audio , 0.026*pocket , 0.022*language , 0.021*lesson , 0.019*speech , 0.019*master 
0.14,1194,55, 0.031*insurance , 0.027*meditation , 0.023*accident , 0.020*australian , 0.019*fortune , 0.014*claim , 0.011*peace 
1.92,16499,56, 0.022*learn , 0.016*video , 0.015*student , 0.013*learning , 0.013*step , 0.011*guide , 0.011*help 
1.09,9406,57, 0.062*guide , 0.048*travel , 0.042*city , 0.023*local , 0.015*information , 0.015*trip , 0.013*tip 
0.24,2056,58, 0.115*animal , 0.056*flight , 0.035*airport , 0.031*party , 0.023*monkey , 0.022*birthday , 0.021*farm 
1.89,16269,59, 0.030*calculator , 0.018*value , 0.018*calculate , 0.016*calculation , 0.011*result , 0.009*also , 0.009*number 
1.18,10166,60, 0.030*place , 0.029*hotel , 0.020*information , 0.018*golf , 0.016*feature , 0.015*attraction , 0.015*location 
1.23,10579,61, 0.062*mobile , 0.051*account , 0.026*bank , 0.022*banking , 0.021*check , 0.020*online , 0.020*credit 
0.44,3819,62, 0.098*weather , 0.028*forecast , 0.022*wind , 0.018*condition , 0.017*radar , 0.016*current , 0.014*snow 
0.97,8334,63, 0.038*property , 0.036*real , 0.035*home , 0.025*estate , 0.021*church , 0.020*south , 0.014*north 
0.62,5376,64, 0.085*call , 0.073*message , 0.058*phone , 0.030*contact , 0.017*free , 0.016*mobile , 0.016*number 
0.33,2846,65,0.052*slot , 0.044*machine , 0.034*meeting , 0.033*bonus , 0.032*spin , 0.032*room , 0.026*free 
